Location,Household Total,Median,Mean
"Rutherford County, Tennessee",111387.0,61157.0,75267.0
"Sevier County, Tennessee",36098.0,45609.0,56756.0
"Shelby County, Tennessee",354666.0,47690.0,70860.0
"Sullivan County, Tennessee",64795.0,42859.0,58135.0
"Sumner County, Tennessee",65186.0,60503.0,78533.0
"Washington County, Tennessee",52707.0,46276.0,62660.0
"Williamson County, Tennessee",73811.0,106054.0,137681.0
"Wilson County, Tennessee",47707.0,71153.0,84232.0
"Angelina County, Texas",30210.0,41161.0,55000.0
"Bastrop County, Texas",25975.0,56508.0,72650.0
"Bell County, Texas",119985.0,52275.0,68060.0
"Bexar County, Texas",628924.0,53210.0,72419.0
"Bowie County, Texas",33031.0,45997.0,67583.0
"Brazoria County, Texas",117168.0,74799.0,90604.0
"Brazos County, Texas",78272.0,41559.0,71130.0
"Cameron County, Texas",120499.0,37061.0,51206.0
"Collin County, Texas",334794.0,89638.0,113597.0
"Comal County, Texas",48604.0,77425.0,99722.0
"Coryell County, Texas",22682.0,51125.0,64622.0
"Dallas County, Texas",924789.0,54399.0,80938.0
"Denton County, Texas",281964.0,80613.0,106034.0
"Ector County, Texas",51012.0,53254.0,79688.0
"Ellis County, Texas",55586.0,70210.0,86074.0
"El Paso County, Texas",267376.0,42165.0,57072.0
"Fort Bend County, Texas",230121.0,90680.0,119536.0
"Galveston County, Texas",120938.0,64939.0,90498.0
"Grayson County, Texas",47135.0,52095.0,66350.0
"Gregg County, Texas",45231.0,44219.0,61736.0
"Guadalupe County, Texas",51935.0,68157.0,86068.0
"Harris County, Texas",1606399.0,56377.0,84551.0
"Harrison County, Texas",23742.0,46548.0,57647.0
"Hays County, Texas",71267.0,64658.0,83539.0
"Henderson County, Texas",30403.0,44088.0,64111.0
